,是否印標,印標人員,Tracking ID,尾碼,SKU ID,5,6,7,8,9,10,11,12,13,14,15,16,DATE,18,19,20,21
2,V,42525,TTWK000554247,43,14721460043_104541280096,3,14721460043,TTWK000554247,GINTWK0002205090054,Counted,14721460043_104541280096,Dr.Groot 養髮秘帖洗髮精400ml 蝦皮直送 現貨:(細軟扁榻髮)400ml,3,正常,3,NO,sp99081@shopee.com,2022-05-09 9:43:26,2379450,TW_臺灣樂金生活健康股份有限公司(Consignment),詳情質檢,
3,V,42525,TTWK000554238,91,15179838591_144120397853,3,15179838591,TTWK000554238,GINTWK0002205090008,Counted,15179838591_144120397853,美麗夢工坊-酷甜DIY手鍊 珠寶 組合 現貨 蝦皮直送:珠寶手鍊組,3,正常,3,NO,sp0880@shopee.com,2022-05-09 9:43:10,705793,TW_萬寶倉有限公司(Consignment),詳情質檢,詳情質檢
4,V,42525,TTWK000537127,75,11425854875_46922536499,12,11425854875,TTWK000537127,GINTWK0002205090074,Counting,11425854875_46922536499,日本明星一平夜店炒麵 明太子/鹽味/鮪魚美乃滋味/醬味 日本百萬上班族激推款 泡麵人必吃 現貨 蝦皮直送:醬味,12,正常,0,NO,sp3342@shopee.com,2022-05-09 9:42:54,681789,TW_食貨家有限公司(Consignment),詳情計數,詳情計數
5,V,42525,TTWK000554258,32,11625898132_84169673548,18,11625898132,TTWK000554258,GINTWK0002205090072,Counted,11625898132_84169673548,日本 ORSON 北海道鱈魚起司條130G/十勝起司條68g 現貨 蝦皮直送:十勝起司條,18,正常,18,NO,sp2688@shopee.com,2022-05-09 9:42:37,681789,TW_食貨家有限公司(Consignment),詳情質檢,詳情質檢
6,V,42525,TTWK000535545,83,11125951183_111418158397,48,11125951183,TTWK000535545,GINTWK0002205090040,Counting,11125951183_111418158397,韓國 上友 百濟海苔12入 現貨 蝦皮直送 (部分即期),48,正常,0,NO,sp2907@shopee.com,2022-05-09 9:42:25,681789,TW_食貨家有限公司(Consignment),詳情計數,詳情計數
7,V,42525,TTWK000554246,43,14721460043_104541280097,3,14721460043,TTWK000554246,GINTWK0002205090058,Counted,14721460043_104541280097,Dr.Groot 養髮秘帖洗髮精400ml 蝦皮直送 現貨:(嚴重受損髮)400ml,3,正常,3,NO,sp99081@shopee.com,2022-05-09 9:42:04,2379450,TW_臺灣樂金生活健康股份有限公司(Consignment),詳情質檢,詳情質檢
8,V,42525,TTWK000537129,32,11625898132_84169673548,12,11625898132,TTWK000537129,GINTWK0002205090072,Counted,11625898132_84169673548,日本 ORSON 北海道鱈魚起司條130G/十勝起司條68g 現貨 蝦皮直送:十勝起司條,12,正常,12,NO,sp2688@shopee.com,2022-05-09 9:42:01,681789,TW_食貨家有限公司(Consignment),詳情質檢,詳情質檢
9,V,42525,TTWK000554237,66,17558819366_28849193864,3,17558819366,TTWK000554237,GINTWK0002205090007,Counted,17558819366_28849193864,美麗夢工坊-迪士尼公主酷甜水晶串珠組 DIY手鍊 現貨 蝦皮直送:規格一,3,正常,3,NO,sp0880@shopee.com,2022-05-09 9:41:29,705793,TW_萬寶倉有限公司(Consignment),詳情質檢,詳情質檢
10,V,42525,TTWK000554251,59,11525896159_111416694635,18,11525896159,TTWK000554251,GINTWK0002205090062,Counted,11525896159_111416694635,SF圈圈餅/玉米餅 五袋組 蠟筆小新 2021款 蝦皮直送 現貨:圈圈餅五袋組25gX5,18,正常,18,NO,sp0923@shopee.com,2022-05-09 9:41:18,681789,TW_食貨家有限公司(Consignment),詳情質檢,詳情質檢
11,V,42525,TTWK000537132,83,11125951183_111418158397,12,11125951183,TTWK000537132,GINTWK0002205090040,Counted,11125951183_111418158397,韓國 上友 百濟海苔12入 現貨 蝦皮直送 (部分即期),12,正常,12,NO,sp2907@shopee.com,2022-05-09 9:41:12,681789,TW_食貨家有限公司(Consignment),詳情質檢,詳情質檢
